segment,sub_segment_group,organization,sub_segment,location,website,likely_needs,buying_trigger,source_url,verified
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,LOVI Ceylon,Designer fashion brand,Colombo (Galle Face Hotel),lovisarongs.com,"Premium gift boxes, tags, tissue, lookbooks",Designer sarong/groom-wear brand; seasonal collections,https://www.lovisarongs.com/,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Kelly Felder,Womenswear retail brand,Colombo,kellyfelder.com,"Hang tags, carrier bags, e-commerce mailers, labels","Continuous new arrivals, island-wide delivery",https://kellyfelder.com/collections/new-arrivals,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Thilakawardhana,Fashion retail,Kiribathgoda,thilakawardhana.com,"Carrier bags, hang tags, labels, catalogues, e-com boxes",Runs global online store; ongoing retail,https://thilakawardhana.com/,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Odel,Fashion department store,Colombo,odel.lk,"Carrier bags, hang tags, gift boxes, seasonal POS","Multi-store chain, Luv SL souvenir line",https://growyourclothingbrand.com/blog/clothing-brands-by-country/top-sri-lankan-clothing-brands-you-should-know/,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Cool Planet,Fashion department store chain,Nugegoda / Colombo,coolplanet.lk,"Carrier bags, hang tags, labels, promotional print","Fast-growing chain since 2006, new mall Colombo 05",https://coolplanet.lk/,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Nolimit,Fashion retail chain,Colombo (Dehiwala),nolimit.lk,"Hang tags, carrier bags, labels, seasonal POS",Branches across country; ongoing retail,https://en.wikipedia.org/wiki/Nolimit,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Fashion Bug,Fashion retail chain,Colombo,fashionbug.lk,"Hang tags, carrier bags, labels, catalogues",Chain since 1994; ongoing retail,https://growyourclothingbrand.com/blog/clothing-brands-by-country/top-sri-lankan-clothing-brands-you-should-know/,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,"Hameedia (Envoy, Signature)",Menswear brand,Colombo,hameedia.com,"Shirt boxes, tags, labels, carrier bags, brochures",Heritage menswear with sub-brands; ongoing retail,https://www.findit.lk/recommendations/top-10-clothing-brands-in-sri-lanka,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Aviraté,Womenswear brand,Colombo,avirate.com,"Hang tags, carrier bags, labels, lookbooks","Expanding international presence, frequent new collections",https://ensun.io/search/fashion-retail/sri-lanka,yes
"Apparel, industrial & manufacturing",Apparel and garment manufacturers / exporters and local fashion brands,Cotton Collection,Fashion retail brand,Colombo,— (verify site),"Hang tags, carrier bags, labels",Recognised at retail awards; ongoing retail,https://island.lk/blending-comfort-and-fashion/,yes
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories",DSI Samson Group / D. Samson Industries,Footwear manufacturer-exporter,Colombo (HQ); plants Western/Southern,dsisamson.com,"Shoe boxes, box labels, hang tags, tissue, retail bags","27 m+ pairs/yr, 2,500 staff; leading SL footwear exporter",https://en.wikipedia.org/wiki/DSI_Samson_Group,yes
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories","Ceylon Leather Products PLC (""DI"")",Leather footwear & goods,Colombo (Mattakkuliya),dishoes.lk,"Shoe boxes, tags, tissue, warranty cards, retail bags",Exporter and domestic brand; ongoing demand,https://www.srilankabusiness.com/pdf/footwear_and_leather_fair_2015/exhibitor-list-footwear-and-leather-fair.pdf,yes
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories",Bata Sri Lanka,Footwear manufacturer-retailer,Ratmalana,bata.lk,"Shoe boxes, inserts, hang tags, carrier bags, POS print",In SL since 1950; retail chain plus online store,https://www.facebook.com/batalanka/,yes
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories",Lotus Footwear Enterprises,Sports footwear exporter (Nike supplier),Sri Lanka (site not verified),—,"Shoe boxes, box labels, size stickers, export cartons","1,184 Nike shipments in trade data; ongoing demand",https://www.volza.com/p/nike/manufacturers/manufacturers-in-sri-lanka/,yes
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories",Ceylon Leather Crafts,Leather wallets & bags,Colombo (verify),ceylonleathercrafts.com,"Rigid boxes, tags, tissue, pouches, care cards",Direct-to-consumer leather brand,https://ceylonleathercrafts.com/,verify
"Apparel, industrial & manufacturing","Footwear, leather goods, handbags and accessories",Helen Kaminski – Sri Lanka artisan workshops,Accessories (raffia/crochet),"Rural workshops, Sri Lanka",helenkaminski.com,"Swing tags, tissue, poly/paper bags, export cartons","6,000+ active SL artisans since 2012; ongoing demand",https://helenkaminski.com/blogs/journal/meet-the-makers-sri-lanka,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Dipped Products PLC (Hayleys),Rubber gloves,Weliweriya,dplgroup.com,"Glove inner boxes, dispenser cartons, labels, leaflets","~5% global share, 4 SL plants; ongoing demand",https://en.wikipedia.org/wiki/Dipped_Products,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Ansell Lanka,Protective gloves,Biyagama EPZ,ansell.com,"Printed dispenser boxes, labels, safety leaflets",Global PPE leader's SL plant; ongoing demand,https://ensun.io/search/rubber/sri-lanka,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Lalan Rubbers,Work gloves,"Colombo (HQ), 9 units",lalangroup.com,"Glove packs, cartons, labels, catalogues",1.3 bn gloves/yr exported; ongoing demand,https://ensun.io/search/rubber/sri-lanka,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",GRI (Global Rubber Industries),Specialty tyres,Badalgama,gritires.com,"Tyre labels, cartons, brochures, catalogues",World's largest solid excavator tyre maker; ongoing demand,https://ensun.io/search/rubber/sri-lanka,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",CEAT Kelani International Tyres,Tyres,Kelaniya / Kalutara,ceat.lk,"Tyre labels, tube cartons, brochures, dealer POS","Largest domestic tyre maker, 3 plants",https://en.wikipedia.org/wiki/Kelani_Tyres,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Camso Loadstar / Michelin Lanka,Industrial tyres & tracks,Ekala / Midigama,michelin.com,"Tyre labels, cartons, manuals, catalogues","Top SL tyre shipper (63,833 shipments); ongoing demand",https://economynext.com/sri-lankas-loadstar-to-be-part-of-michelin-with-camso-take-over-10858/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Trelleborg Lanka,Industrial/agri tyres,Kelaniya (verify),trelleborg.com,"Labels, cartons, brochures",Second-largest SL tyre shipper; ongoing demand,https://www.volza.com/p/tyre/manufacturers/manufacturers-in-sri-lanka/,verify
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Samson Rubber Industries,Bicycle/motorcycle tyres & tubes,Galle (verify),samsonrubber.com,"Tube cartons, tyre labels, catalogues",Exports to 46+ countries; ongoing demand,https://www.volza.com/p/tyre/manufacturers/manufacturers-in-sri-lanka/,verify
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Haycarb PLC (Hayleys),Activated carbon,"Colombo (HQ); Madampe, Badalgama",haycarb.com,"Printed bags/sacks, drum labels, SDS leaflets, brochures",New energy-carbon facility; BOI agreement for battery carbons,https://www.haycarb.com/media/haycarb-opens-new-energy-carbon-manufacturing-facility-strengthening-global-supply-in-advanced-energy-carbon-materials/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Jacobi Carbons Lanka,Activated carbon,Kurunegala district (verify),jacobi.net,"Printed sacks, labels, SDS leaflets","Capacity expanded to 9,000 MT; ISO 14001",https://www.jacobi.net/jacobi-carbons-lanka-iso14001/,verify
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Dankotuwa Porcelain PLC,Porcelain tableware,Dankotuwa,dankotuwa.com,"Gift boxes, inserts, product labels, catalogues","83% export sales, 25 countries; homeware e-commerce",https://www.dankotuwa.com/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Royal Fernwood Porcelain,Porcelain tableware,Kosgama,ambeonholdings.com,"Cartons, inserts, backstamp labels, catalogues",8.4 m pieces/yr capacity; ongoing demand,https://ambeonholdings.com/porcelain/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Noritake Lanka Porcelain,Porcelain tableware,Matale,noritake.lk,"Export cartons, inserts, labels, brochures",Pioneer SL porcelain exporter; ongoing demand,https://www.srilankabusiness.com/ebooks/industry-capability-report-ceramic-2025.pdf,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Midaya Ceramic Company,Ceramic ornaments & tableware,Piliyandala,midaya.com,"Gift boxes, inserts, labels, catalogues",Multi-body ceramics exporter; ongoing demand,https://www.srilankabusiness.com/ebooks/industry-capability-report-ceramic-2025.pdf,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Royal Ceramics Lanka (Rocell),Tiles & bathware,Colombo (HQ); Eheliyagoda,rocell.com,"Tile cartons, labels, catalogues, showroom print",New tile plant adding 20% capacity,https://www.dailymirror.lk/business-news/Royal-Ceramics-to-commission-new-tile-making-plant-targeting-price-sensitive-market-segment/273-203346,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Lanka Tiles PLC,Floor tiles,Ranala (Jaltara),lankatiles.com,"Tile cartons, labels, catalogues","Ongoing demand (exporter, Rocell group)",https://en.wikipedia.org/wiki/Lanka_Tiles,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Lanka Walltiles PLC,Wall tiles,Balangoda / Meepe,lankawalltiles.com,"Tile cartons, labels, catalogues",35+ years exporting; ongoing demand,https://en.wikipedia.org/wiki/Royal_Ceramics,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Laksala (Sri Lanka Handicrafts Board),Handicraft & souvenir retail,"Colombo, island-wide",laksala.gov.lk,"Gift boxes, tags, carrier bags, labels",State souvenir chain incl. airport/tourist sites,http://www.laksala.gov.lk/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Barefoot,Handloom & gifts,Colombo,barefootceylon.com,"Tags, tissue, gift boxes, carrier bags",Iconic handloom/gift retailer; tourist demand,https://tuktukrental.com/guide-to-buying-souvenirs-sri-lanka/,yes
"Apparel, industrial & manufacturing","Rubber, gloves, tyres, activated carbon, ceramics, porcelain, tableware and handicraft/gift exporters",Selyn Exporters,"Fair-trade handloom, toys, home decor",Kurunegala,selyn.lk,"Hang tags, toy boxes, cartons, catalogues",Exports to 18+ countries; ongoing demand,https://selyn.lk/pages/selyn-exports-taking-sri-lankan-handloom-to-the-world,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",ACL Cables PLC,Electrical cables,Colombo (HQ); Piliyandala,acl.lk,"Drum/coil labels, cartons, catalogues, warranty leaflets",70% market share group; ongoing demand,https://acl.lk/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Kelani Cables PLC,Electrical cables,Kelaniya,kelanicables.com,"Coil labels, cartons, catalogues","ACL subsidiary, exporter; ongoing demand",https://www.kelanicables.com/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Sierra Cables PLC,Electrical cables,Kaduwela,sierracables.com,"Coil labels, cartons, catalogues","Third-largest, exports; ongoing demand",https://www.sierracables.com/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Orel Corporation (Orange Electric),"Switches, lighting, IoT, batteries",Colombo (HQ); Orel Park,orel.com,"Product boxes, labels, manuals, blister cards","Operates in 28+ countries; new LFP battery, IoT lines",https://orange.orel.com/company/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Macksons Paint Industries (Multilac),Paints & coatings,Colombo (HQ),multilac.lk,"Can labels, shade cards, brochures, cartons",Largest SL paint exporter; ongoing demand,https://macksons.com/company/multilac/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",JAT Holdings PLC,Wood coatings & paints,Thalawathugoda,jatholdings.com,"Labels, shade cards, catalogues, cartons","Wood-coatings leader, listed; ongoing demand",https://en.wikipedia.org/wiki/JAT_Holdings,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Causeway Paints Lanka,Paints,Colombo (HQ),causewaypaints.lk,"Can labels, colour cards, brochures",BOI-approved JV; ongoing demand,https://www.industry.gov.lk/web/wp-content/uploads/2025/07/Paint-sector.pdf,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Nippon Paint Lanka,Paints,Colombo,nipponpaint.lk,"Labels, shade cards, POS print",Major player per Ministry of Industry 2025 report,https://www.industry.gov.lk/web/wp-content/uploads/2025/07/Paint-sector.pdf,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Lankem Ceylon PLC,"Paints, agrochemicals, consumer",Colombo,lankem.lk,"Labels, agrochemical leaflets/SDS, cartons",Chemicals + paints + agro; ongoing demand,https://en.wikipedia.org/wiki/Lankem_Ceylon,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",AkzoNobel Paints Lanka (Dulux),Paints,Colombo,dulux.lk,"Labels, colour cards, brochures",Listed among key SL paint makers 2025,https://www.industry.gov.lk/web/wp-content/uploads/2025/07/Paint-sector.pdf,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Asian Paints (Lanka),Paints,Colombo,asianpaints.lk,"Labels, shade cards, POS print",Listed among key SL paint makers 2025,https://www.industry.gov.lk/web/wp-content/uploads/2025/07/Paint-sector.pdf,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs","CIC Holdings (CIC Agri, CIC Feeds)","Seeds, fertiliser, animal feed",Colombo,cic.lk,"Printed feed sacks, seed packets, labels, leaflets",Feed milling since Nutrena acquisition; ongoing demand,https://www.srilankabusiness.com/food-and-beverages/animal-feed.html,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Hayleys Agriculture Holdings,"Seeds, crop protection, fertiliser",Colombo,hayleysagriculture.com,"Seed packets, agrochemical labels, leaflets, sacks",Market leader in agri inputs; ongoing demand,https://www.hayleysagriculture.com/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Hayleys Quality Seed Co,F1 flower/vegetable seeds,Colombo (HQ),hayleysqualityseed.com,"Seed packets, labels, catalogues",Pioneer F1 seed exporter; ongoing demand,https://www.hayleysqualityseed.com/about-us/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",A. Baur & Co (Baurs),Fertiliser blending,Colombo,baurs.com,"Printed fertiliser sacks, labels, leaflets",Leading private fertiliser blender; ongoing demand,https://www.baurs.com/fertilizer/,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Gold Coin Feedmills (Lanka),Animal feed,Ekala (Ja-Ela),goldcoin.lk,"Printed feed sacks, labels, dealer leaflets",Milling in SL since 1993; ongoing demand,https://www.srilankabusiness.com/food-and-beverages/animal-feed.html,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Ceylon Grain Elevators / Prima,"Animal feed, poultry",Colombo,cge.lk,"Printed feed sacks, labels, brochures",Prima group feed operations; ongoing demand,https://en.wikipedia.org/wiki/Ceylon_Grain_Elevators,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Bairaha Farms PLC,Poultry & feed,Colombo,bairaha.com,"Feed sacks, product labels, cartons",JV in new Wariyapola feed plant,https://en.wikipedia.org/wiki/Bairaha_Farms,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Crysbro Group,"Animal feed, poultry",Wariyapola / Kurunegala,crysbro.com,"Printed feed sacks, labels, cartons",Rs 1.65 bn largest hi-tech feed plant opened,https://www.ft.lk/business/crysbro-opens-sri-lankas-largest-hi-tech-livestock-feed-plant-in-wariyapola/34-535465,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Tokyo Cement Group,Cement & building products,Trincomalee / Colombo,tokyocement.lk,"Printed cement sacks, labels, brochures",Capacity raised by 1 Mt to 4 Mt/yr,https://www.cemnet.com/News/story/170189/sri-lanka-starts-to-close-production-gap-to-cement-demand.html,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",INSEE Cement (Siam City Cement Lanka),Cement,Colombo / Puttalam,inseecement.lk,"Printed sacks, labels, brochures",Co-dominant in 4.45 Mt SL market (2024),https://www.cemnet.com/News/story/170189/sri-lanka-starts-to-close-production-gap-to-cement-demand.html,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Lanwa Sanstha Cement,Cement,Hambantota (Mirijjawila),lanwa.lk,"Printed sacks, labels, dealer print","USD 100 m, 4 Mt/yr plant commissioned",https://www.cemnet.com/global-cement-report/facility/lanwa-sanstha-cement-corp,yes
"Apparel, industrial & manufacturing","Electronics, cables, hardware/tools, paints, chemicals and agro-inputs",Ceylon Steel Corporation (Lanwa),Steel bars & hardware,Athurugiriya (Oruwala),lanwa.lk,"Bundle tags, labels, brochures, safety leaflets",Ongoing demand (major hardware manufacturer),https://en.wikipedia.org/wiki/Ceylon_Steel_Corporation,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Damro (incl. Innovex appliances),Furniture & appliances,Colombo (HQ); Piliyandala,damro.lk,"Shipping cartons, warranty cards, manuals, catalogues",South Asia's largest furniture maker; Innovex appliance line,https://en.wikipedia.org/wiki/Damro,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Richard Pieris & Co (Arpico / Arpitech),"Mattresses, foam, furniture",Colombo,arpicomattress.com,"Mattress bags/labels, warranty cards, brochures, cartons",Arpico NextGen mattress launched 13 Jun 2025; India entry,https://lmd.lk/arpico-19/,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Piyestra,Furniture,Colombo,piyestra.com,"Shipping cartons, labels, catalogues, warranty cards",Major domestic furniture retailer; ongoing demand,https://www.linkedin.com/pulse/house-hold-furniture-market-sri-lanka-chandana-senarathna,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Alpha Industries,Furniture & interiors,Colombo,alpha.lk,"Cartons, catalogues, warranty cards",Entered home-interior sector; 40+ years,https://www.lankapropertyweb.com/property-news/top-furniture-stores-sri-lanka/,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",H. Don Carolis & Sons,Furniture,Colombo,doncarolis.lk,"Cartons, catalogues, warranty cards",Oldest SL furniture maker (1860); ongoing demand,https://en.wikipedia.org/wiki/H._Don_Carolis_and_Sons,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",A.T. Cooray,Furniture,Moratuwa (verify),—,"Cartons, labels, catalogues",Listed among top domestic furniture brands,https://www.linkedin.com/pulse/house-hold-furniture-market-sri-lanka-chandana-senarathna,verify
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Lionco (unverified),Furniture,Colombo (verify),—,"Cartons, labels, catalogues",Listed among domestic furniture brands,https://www.linkedin.com/pulse/house-hold-furniture-market-sri-lanka-chandana-senarathna,verify
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Ceylon Furniture,Teak furniture,Moratuwa,ceylonfurniture.lk,"Export cartons, labels, catalogues",30+ years; showrooms in 4 towns,https://ceylonfurniture.lk/,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Modern Craft Furniture,Furniture manufacturer-exporter,Moratuwa,moderncraftfurniture.lk,"Export cartons, labels, catalogues",Moratuwa exporter; ongoing demand,https://moderncraftfurniture.lk/,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Singer (Sri Lanka) PLC (Sisil),Appliances & furniture,Colombo (HQ); Piliyandala,singersl.com,"Appliance cartons, manuals, warranty cards, POS",Hayleys-owned; nationwide retail,https://en.wikipedia.org/wiki/Singer_(Sri_Lanka),yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Abans PLC,Appliances & electronics,Colombo,abans.lk,"Cartons, manuals, warranty cards, catalogues",Largest appliance retailer; institutional supply,https://en.wikipedia.org/wiki/Abans,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Rocell Bathware (Royal Ceramics),Sanitaryware,Homagama,rocell.com,"Cartons, inserts, labels, catalogues",Ongoing demand (Rocell group expansion),https://en.wikipedia.org/wiki/Royal_Ceramics,yes
"Apparel, industrial & manufacturing","Furniture, mattress, homeware and kitchen-appliance brands",Paradise Road,Design homeware & gifts,Colombo,paradiseroad.lk,"Gift boxes, tags, tissue, carrier bags",Premium homeware/gift retailer; tourist demand,https://www.sheneller.com/blogs/blog/when-in-colombo-top-10-places-to-buy-sri-lankan-souvenirs,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Vogue Jewellers,Jewellery retail,Colombo,voguejewellers.com,"Rigid boxes, pouches, tags, certificates, brochures",Multi-showroom brand since 1962,https://en.wikipedia.org/wiki/Vogue_Jewellers,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Raja Jewellers,Jewellery retail/export,Colombo,rajajewellers.com,"Rigid boxes, pouches, tags, certificates",Ships internationally; award winner,https://www.rajajewellers.com/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Colombo Jewellery Stores (CJS),Sapphire jewellery,Colombo,cjs.lk,"Premium boxes, certificates, catalogues",Heritage brand since 1922,https://www.cjs.lk/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Stone 'N' String,Fashion jewellery,Colombo,stonenstring.com,"Boxes, pouches, hang tags, e-com mailers",Sold via Kapruka and stores; ongoing retail,https://www.kapruka.com/online/jewellery/price/stone_n_string,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Mallika Hemachandra Jewellers,Jewellery,Colombo,mallikahemachandra.com,"Rigid boxes, pouches, tags, certificates",Established 1968; design-led brand,https://mallikahemachandra.com/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Swarnamahal Jewellers,Jewellery retail,Colombo,swarnamahal.lk,"Boxes, pouches, tags, promotional print",Household-name chain,https://www.swarnamahal.lk/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Sifani Jewellers,Jewellery retail/export,Colombo,sifani.com,"Boxes, pouches, tags, catalogues","30+ shops in SL, Maldives, London",https://www.srilankabusiness.com/exporters-directory/company-profiles/sifani-jewellers-pvt-ltd/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Zam Gems,Gems & jewellery export,Colombo,zamgems.com,"Gem boxes, certificates, pouches, brochures","Global customer base (Japan, China, US, EU)",https://zamgems.com/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Wellawatta Nithyakalyani Jewellery,Jewellery retail/export,Colombo,nithyakalyani.com,"Boxes, pouches, tags, certificates","Largest single-store showroom; 35,000 customers",http://www.nithyakalyani.com/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Chamathka Jewellers,Jewellery retail chain,Colombo,chamathkajewellers.lk,"Boxes, pouches, tags, POS print","21 outlets incl. One Galle Face, CCC",https://www.chamathkajewellers.lk/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Devi Jewellers,Gold & bridal jewellery,Colombo,devijewellers.lk,"Boxes, pouches, tags, bridal catalogues",Bridal collections; ongoing retail,https://devijewellers.lk/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Ravi Jewellers,Jewellery retail,Colombo,ravijewellers.lk,"Boxes, pouches, tags",Ongoing retail,https://ravijewellers.lk/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Dilmah Ceylon Tea,Tea gifts,Peliyagoda,dilmahtea.com,"Gift boxes, tea-bag envelopes, tins/labels, sleeves",Dedicated tea-gift ranges and t-Lounge outlets,https://www.dilmahtea.com/our-products/gift-of-teas,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Basilur Tea,Tea gifts,Colombo,basilurtea.com,"Collectible tins/labels, gift boxes, Tea Book packs",Packaging-led brand since 2006,https://blog.kapruka.com/what-to-buy-sri-lanka-local-gifts/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Mlesna (Ceylon),Tea gifts,Colombo,mlesnateas.com,"Gift boxes, caddy labels, tea-bag sachets",Retail counter Liberty Plaza; gift ranges,https://blog.kapruka.com/what-to-buy-sri-lanka-local-gifts/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Zesta (Watawala Tea Ceylon),Tea,Colombo,zesta.lk,"Cartons, sachets, gift packs, labels",Listed among top Ceylon tea brands,https://sg.lakpura.com/pages/ceylon-tea-brands,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Bogawantalawa Tea Estates,Tea,Colombo,bogawantalawa.com,"Gift boxes, tins/labels, sachets",Heritage estate brand since 1869,https://sg.lakpura.com/pages/ceylon-tea-brands,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Halpé Tea,Tea gifts,Ella / Colombo,halpetea.com,"Gift boxes, labels, retail sleeves","Outlets at One Galle Face, BIA airport, Ella",https://bestbrandshq.com/best-sri-lankan-tea-brands/,yes
"Apparel, industrial & manufacturing","Jewellery, gems and tea/souvenir gift brands",Tea Tang,Tea gifts,Colombo,teatang.com,"Gift boxes, tins/labels, sachets",Established gift-tea brand,https://bestbrandshq.com/best-sri-lankan-tea-brands/,yes
